SNR,BER,PER
-3.000000000000,0.128609865471,1.000000000000
-2.789473684211,0.106524663677,1.000000000000
-2.578947368421,0.082993273543,1.000000000000
-2.368421052632,0.060678251121,1.000000000000
-2.157894736842,0.038912556054,1.000000000000
-1.947368421053,0.021799327354,1.000000000000
-1.736842105263,0.009820627803,1.000000000000
-1.526315789474,0.003323991031,1.000000000000
-1.315789473684,0.000924887892,1.000000000000
-1.105263157895,0.000229820628,0.980000000000
-0.894736842105,0.000039237668,0.320000000000
-0.684210526316,0.000000000000,0.000000000000
-0.473684210526,0.000000000000,0.000000000000
-0.263157894737,0.000000000000,0.000000000000
-0.052631578947,0.000000000000,0.000000000000
0.157894736842,0.000000000000,0.000000000000
0.368421052632,0.000000000000,0.000000000000
0.578947368421,0.000000000000,0.000000000000
0.789473684211,0.000000000000,0.000000000000
1.000000000000,0.000000000000,0.000000000000
